Filename,GPS Event,GPS Time,Weeks:Seconds,Line Number,Number in Line,Longitude,Latitude,Altitude,Pitch,Roll,Yaw,Yaw Type,ISO,Aperture,Shutter Speed 1/#
2021-09-17604_RGB_180240.IIQ,604,23:04:02.53547,2175:515042.53547,XXXX,XXXX,-122.6543,50.422669,3723.469 m,2.85000,-0.45000,174.46001,T,250,7.1,2500
2021-09-17605_RGB_180241.IIQ,605,23:04:06.74827,2175:515046.74827,XXXX,XXXX,-122.653219,50.419738,3726.260 m,2.41000,-0.41000,174.97000,T,250,7.1,2500
2021-09-17606_RGB_180242.IIQ,606,23:04:11.013071,2175:515051.013071,XXXX,XXXX,-122.652156,50.416788,3727.809 m,2.23000,-0.26000,175.55000,T,250,7.1,2500
2021-09-17607_RGB_180243.IIQ,607,23:04:15.289871,2175:515055.289871,XXXX,XXXX,-122.651118,50.413843,3728.299 m,2.07000,-0.90000,175.37000,T,250,7.1,2500
2021-09-17608_RGB_180244.IIQ,608,23:04:19.574673,2175:515059.574673,XXXX,XXXX,-122.650089,50.410898,3727.119 m,1.53000,-0.11000,175.35001,T,250,7.1,2500
2021-09-17609_RGB_180245.IIQ,609,23:04:23.87247,2175:515063.87247,XXXX,XXXX,-122.649069,50.407934,3724.989 m,1.58000,-0.29000,175.72000,T,250,7.1,2500
2021-09-17610_RGB_180246.IIQ,610,23:04:28.121273,2175:515068.121273,XXXX,XXXX,-122.648026,50.404998,3724.320 m,2.01000,-0.44000,175.20000,T,250,7.1,2500
2021-09-17611_RGB_180247.IIQ,611,23:06:32.51746,2175:515192.51746,XXXX,XXXX,-122.639274,50.403403,3717.400 m,5.21000,1.64000,342.91000,T,250,6.3,2500
2021-09-17612_RGB_180248.IIQ,612,23:06:37.220241,2175:515197.220241,XXXX,XXXX,-122.640145,50.406361,3726.650 m,5.39000,-0.42000,342.76001,T,250,6.3,2500
2021-09-17613_RGB_180249.IIQ,613,23:06:42.020399,2175:515202.020399,XXXX,XXXX,-122.641048,50.409346,3730.099 m,3.41000,-3.54000,341.48001,T,250,6.3,2500
2021-09-17614_RGB_180250.IIQ,614,23:06:46.763163,2175:515206.763163,XXXX,XXXX,-122.64207,50.412284,3732.179 m,4.43000,-0.48000,340.79001,T,250,6.3,2500
2021-09-17615_RGB_180251.IIQ,615,23:06:51.550572,2175:515211.550572,XXXX,XXXX,-122.643128,50.415236,3738.100 m,4.95000,-1.91000,340.25000,T,250,6.3,2500
2021-09-17616_RGB_180252.IIQ,616,23:06:56.365347,2175:515216.365347,XXXX,XXXX,-122.644244,50.418174,3743.910 m,5.40000,-0.13000,339.53000,T,250,6.3,2500
2021-09-17617_RGB_180253.IIQ,617,23:07:01.198439,2175:515221.198439,XXXX,XXXX,-122.645342,50.421103,3750.960 m,4.65000,-0.96000,340.42001,T,250,6.3,2500
2021-09-17618_RGB_180254.IIQ,618,23:07:06.070194,2175:515226.070194,XXXX,XXXX,-122.646445,50.424039,3756.339 m,4.50000,-1.55000,339.85999,T,250,6.3,2500
2021-09-17619_RGB_180255.IIQ,619,23:07:10.971667,2175:515230.971667,XXXX,XXXX,-122.64763,50.426963,3760.930 m,4.47000,-0.33000,339.67999,T,250,6.3,2500
2021-09-17620_RGB_180256.IIQ,620,23:10:16.760653,2175:515416.760653,XXXX,XXXX,-122.640916,50.430795,3767.440 m,4.06000,-1.51000,176.72000,T,250,6.3,2500
2021-09-17621_RGB_180257.IIQ,621,23:10:21.559856,2175:515421.559856,XXXX,XXXX,-122.639972,50.427836,3768.370 m,3.95000,-0.69000,176.47000,T,250,6.3,2500
2021-09-17622_RGB_180258.IIQ,622,23:10:26.341841,2175:515426.341841,XXXX,XXXX,-122.639006,50.424873,3765.740 m,2.68000,-0.88000,176.44000,T,250,6.3,1250
2021-09-17623_RGB_180259.IIQ,623,23:10:31.036623,2175:515431.036623,XXXX,XXXX,-122.638026,50.421924,3760.630 m,2.89000,-0.63000,176.78999,T,250,6.3,1250
2021-09-17624_RGB_180260.IIQ,624,23:10:35.692899,2175:515435.692899,XXXX,XXXX,-122.637051,50.418964,3757.500 m,3.09000,-0.44000,176.46001,T,250,6.3,1250
2021-09-17625_RGB_180261.IIQ,625,23:10:40.317669,2175:515440.317669,XXXX,XXXX,-122.636044,50.416004,3756.600 m,3.65000,-3.00000,175.60001,T,250,6.3,1250
2021-09-17626_RGB_180262.IIQ,626,23:10:44.917437,2175:515444.917437,XXXX,XXXX,-122.634976,50.413063,3758.110 m,4.26000,-0.08000,175.77000,T,250,6.3,1250
2021-09-17627_RGB_180263.IIQ,627,23:10:49.549595,2175:515449.549595,XXXX,XXXX,-122.633924,50.410123,3761.559 m,5.46000,-0.12000,175.92000,T,250,6.3,2000
