CIR_Filename,Easting,Northing,Altitude,Omega,Phi,Kappa
65_RGB_110595_rgbi.tif,560581.725,5728203.505,1049.484,1.66025,-2.01158,-125.56777
66_RGB_110596_rgbi.tif,560718.765,5728401.775,1045.486,2.48319,-1.74593,-125.68631
67_RGB_110597_rgbi.tif,560856.374,5728598.495,1044.467,3.84452,-0.90816,-126.36133
68_RGB_110598_rgbi.tif,560998.047,5728794.068,1045.981,3.54155,-2.31262,-127.38765
69_RGB_110599_rgbi.tif,561139.543,5728987.143,1049.588,2.15849,-4.92283,-126.60415
70_RGB_110600_rgbi.tif,562071.312,5729179.462,1111.187,-4.32995,3.26051,55.06011
71_RGB_110601_rgbi.tif,561935.994,5728980.938,1114.206,-5.14772,2.41742,55.04405
72_RGB_110602_rgbi.tif,561799.727,5728783.214,1117.864,-4.30776,3.60078,54.49662
73_RGB_110603_rgbi.tif,561663.310,5728585.043,1121.159,-4.84328,2.53257,54.83835
74_RGB_110604_rgbi.tif,561525.110,5728387.986,1123.860,-5.34315,1.46249,53.25931
75_RGB_110605_rgbi.tif,561382.152,5728193.943,1126.128,-4.42922,2.60911,51.84916
76_RGB_110606_rgbi.tif,561237.736,5728001.956,1128.767,-3.70896,3.82408,51.98326
77_RGB_110607_rgbi.tif,561093.678,5727809.084,1131.640,-4.73036,2.60812,52.07000
78_RGB_110608_rgbi.tif,560948.560,5727617.132,1134.458,-2.93426,4.92330,51.90527
79_RGB_110609_rgbi.tif,560806.035,5727423.146,1137.057,-4.01244,3.45039,52.93851
80_RGB_110610_rgbi.tif,560664.814,5727229.265,1139.491,-3.42257,3.94345,52.33906
81_RGB_110611_rgbi.tif,560522.905,5727032.763,1141.552,-2.98716,4.26130,53.10967
82_RGB_110612_rgbi.tif,560384.326,5726836.796,1143.402,-4.89817,1.44822,52.82462
83_RGB_110613_rgbi.tif,560242.637,5726642.180,1144.822,-3.48253,3.33251,52.11399
84_RGB_110614_rgbi.tif,560101.505,5726447.704,1146.211,-2.22223,3.91233,52.84254
85_RGB_110615_rgbi.tif,559963.104,5726250.833,1144.653,-2.10843,2.25861,53.41718
86_RGB_110616_rgbi.tif,559825.533,5726053.465,1139.571,-2.30851,0.74917,53.41157
87_RGB_110617_rgbi.tif,559685.514,5725856.374,1133.815,-3.01901,-0.15956,52.39430
88_RGB_110618_rgbi.tif,559542.717,5725663.011,1129.383,-1.30966,3.32204,51.59466
89_RGB_110619_rgbi.tif,559400.941,5725469.218,1129.120,-3.41011,2.43694,52.55070
90_RGB_110620_rgbi.tif,559259.104,5725274.878,1133.803,-3.29675,4.49544,52.49053
91_RGB_110621_rgbi.tif,559118.045,5725078.999,1142.427,-4.79968,3.72752,53.09902
92_RGB_110622_rgbi.tif,558978.377,5724884.357,1152.441,-5.21429,3.43922,53.05168
93_RGB_110623_rgbi.tif,558837.190,5724689.786,1161.520,-4.26716,3.87610,52.21135
94_RGB_110624_rgbi.tif,558695.612,5724495.001,1166.598,-2.70346,2.33018,52.46145
95_RGB_110625_rgbi.tif,558554.427,5724299.695,1160.779,-1.07530,-0.83165,52.33137
96_RGB_110626_rgbi.tif,558411.533,5724106.022,1145.397,0.65571,-0.59190,51.85208
97_RGB_110627_rgbi.tif,558269.080,5723912.787,1129.499,3.08005,3.34040,52.98701
98_RGB_110628_rgbi.tif,558131.383,5723714.475,1117.553,-1.09399,-0.59021,54.37155
99_RGB_110629_rgbi.tif,557994.333,5723516.237,1112.514,-1.99632,1.31481,53.98878
100_RGB_110630_rgbi.tif,557856.161,5723317.921,1113.788,-2.35386,2.60962,53.82052
101_RGB_110631_rgbi.tif,557719.740,5723121.041,1118.865,-3.12441,2.83351,54.23490
102_RGB_110632_rgbi.tif,557582.846,5722921.982,1125.990,-3.27398,3.07109,54.36568
103_RGB_110633_rgbi.tif,557447.401,5722723.883,1132.948,-4.78752,0.89807,54.59305
104_RGB_110634_rgbi.tif,557309.692,5722526.562,1139.469,-4.06669,2.05234,53.56675
105_RGB_110635_rgbi.tif,557170.658,5722330.784,1145.098,-2.83282,3.22168,53.02162
106_RGB_110636_rgbi.tif,557032.087,5722133.656,1148.777,-2.11353,3.27997,54.02627
107_RGB_110637_rgbi.tif,556895.336,5721936.028,1149.997,-3.57462,0.44754,53.27789
108_RGB_110638_rgbi.tif,557001.309,5721005.007,1143.552,2.42561,-3.21489,-125.04047
109_RGB_110639_rgbi.tif,557138.513,5721201.631,1146.918,2.59354,-1.35247,-124.51496
110_RGB_110640_rgbi.tif,557277.425,5721399.279,1146.499,2.27336,-0.79061,-125.65757
111_RGB_110641_rgbi.tif,557417.022,5721594.924,1144.439,1.05877,-2.26973,-125.17640
112_RGB_110642_rgbi.tif,557555.052,5721791.647,1142.667,2.02314,-1.47517,-124.91808
113_RGB_110643_rgbi.tif,557693.680,5721988.170,1142.682,3.95911,0.65671,-125.80322
114_RGB_110644_rgbi.tif,557836.034,5722182.921,1143.678,2.05177,-2.54284,-126.09598
115_RGB_110645_rgbi.tif,557977.541,5722377.476,1145.111,2.68331,-1.93102,-125.87684
116_RGB_110646_rgbi.tif,558118.870,5722572.022,1147.304,2.38283,-2.41374,-125.94001
117_RGB_110647_rgbi.tif,558259.864,5722767.223,1149.072,1.65091,-2.83482,-125.57481
118_RGB_110648_rgbi.tif,558398.693,5722963.263,1149.325,0.78692,-3.59641,-125.03428
119_RGB_110649_rgbi.tif,558534.234,5723162.124,1148.461,3.01106,-0.01696,-123.74131
120_RGB_110650_rgbi.tif,558670.941,5723360.742,1146.885,4.21009,2.19122,-125.61506
121_RGB_110651_rgbi.tif,558813.650,5723554.631,1144.011,1.85320,-0.60041,-127.30012
122_RGB_110652_rgbi.tif,558958.756,5723746.261,1140.312,1.05781,-1.59661,-127.36131
123_RGB_110653_rgbi.tif,559104.109,5723938.511,1137.200,2.08342,-0.98825,-127.25597
124_RGB_110654_rgbi.tif,559248.528,5724129.449,1136.407,0.19386,-4.52694,-126.86794
125_RGB_110655_rgbi.tif,559391.246,5724324.364,1137.458,2.24350,-2.15836,-126.17370
126_RGB_110656_rgbi.tif,559531.847,5724517.879,1139.424,2.74298,-1.68232,-126.05963
127_RGB_110657_rgbi.tif,559674.908,5724713.248,1141.681,3.16642,-1.03907,-126.45511
128_RGB_110658_rgbi.tif,559818.340,5724905.441,1143.347,1.67946,-2.97180,-126.77609
129_RGB_110659_rgbi.tif,559960.306,5725099.352,1144.539,0.28194,-4.82287,-125.04395
130_RGB_110660_rgbi.tif,560097.907,5725296.913,1145.072,2.02961,-1.99855,-124.65847
131_RGB_110661_rgbi.tif,560234.921,5725495.648,1144.721,2.38326,-0.82524,-124.46672
132_RGB_110662_rgbi.tif,560372.082,5725692.220,1142.944,3.12596,0.63981,-125.38556
133_RGB_110663_rgbi.tif,560514.005,5725886.841,1140.603,4.01265,1.78445,-126.96365
134_RGB_110664_rgbi.tif,560659.415,5726078.706,1139.542,-0.53041,-5.68157,-126.28823
135_RGB_110665_rgbi.tif,560800.396,5726274.260,1141.906,3.72781,-1.41173,-125.29361
136_RGB_110666_rgbi.tif,560941.130,5726468.367,1148.214,3.73345,-2.75118,-126.02843
137_RGB_110667_rgbi.tif,561082.314,5726663.609,1155.767,1.27172,-5.88063,-124.85355
138_RGB_110668_rgbi.tif,561218.105,5726861.831,1160.693,3.08607,-1.80361,-122.93760
139_RGB_110669_rgbi.tif,561353.404,5727060.589,1161.992,2.44745,-0.83364,-123.97571
140_RGB_110670_rgbi.tif,561490.921,5727258.269,1158.808,1.51414,-0.78201,-124.38412
141_RGB_110671_rgbi.tif,561629.120,5727455.061,1153.137,0.74262,-1.24120,-124.92535
142_RGB_110672_rgbi.tif,561767.549,5727653.078,1147.046,0.99472,-1.13465,-124.81917
143_RGB_110673_rgbi.tif,561905.182,5727849.477,1142.388,1.95253,-0.68017,-125.31214
144_RGB_110674_rgbi.tif,562044.638,5728046.425,1140.159,1.94905,-1.91144,-125.17427
145_RGB_110675_rgbi.tif,562184.092,5728243.169,1140.536,2.52112,-1.92665,-125.52440
146_RGB_110676_rgbi.tif,562322.960,5728438.259,1142.550,2.94055,-1.51166,-125.57462
147_RGB_110677_rgbi.tif,562463.145,5728633.301,1144.789,2.62881,-1.63011,-126.12976
148_RGB_110678_rgbi.tif,562605.308,5728829.671,1145.874,1.27522,-2.87102,-125.97873
149_RGB_110679_rgbi.tif,562744.069,5729025.653,1145.515,0.94264,-2.92732,-125.03494
