CIR_Filena	Easting	Northing	Ellips	Omega	Phi	Kappa
2096_145695.05131640C000616-27-57.051_NIR_65308_124154_rgbi.tif	485791.878	5638297.237	4535.381	1.83354	1.07870	-60.99043
2096_145700.05016341C000616-28-02.050_NIR_65309_124155_rgbi.tif	485616.990	5638635.293	4534.491	1.99521	1.23089	-61.24062
2096_145705.0508242C000616-28-07.050_NIR_65310_124156_rgbi.tif	485443.366	5638973.760	4534.100	2.17331	0.95236	-61.29821
2096_145792.71580943C000616-29-34.715_NIR_65311_124157_rgbi.tif	482456.816	5644823.011	4533.529	2.18703	1.06716	-61.17096
2096_145795.71629544C000616-29-37.716_NIR_65312_124158_rgbi.tif	482358.427	5645019.332	4533.469	2.28818	1.06694	-61.21763
2096_145807.87209345C000616-29-49.872_NIR_65313_124159_rgbi.tif	481961.055	5645811.190	4533.234	2.34702	1.06161	-61.07114
2096_145810.8709546C000616-29-52.870_NIR_65314_124160_rgbi.tif	481863.098	5646005.695	4532.860	2.57970	0.98152	-60.93036
2096_145813.87180747C000616-29-55.871_NIR_65315_124161_rgbi.tif	481764.882	5646199.835	4532.838	2.53206	1.05090	-60.89839
2096_145982.72382348C000616-32-44.723_NIR_65316_124162_rgbi.tif	474538.671	5652897.244	4523.736	1.85744	5.28397	27.17909
2096_145985.7246849C000616-32-47.724_NIR_65317_124163_rgbi.tif	474349.151	5652764.939	4525.208	-0.02241	3.29907	27.75036
2096_145988.72370150C000616-32-50.723_NIR_65318_124164_rgbi.tif	474160.900	5652630.684	4523.230	1.57619	3.25457	28.51064
2096_145991.72339651C000616-32-53.723_NIR_65319_124165_rgbi.tif	473973.281	5652492.816	4518.546	1.21585	2.52014	29.25090
2096_145994.72339952C000616-32-56.723_NIR_65320_124166_rgbi.tif	473784.829	5652352.952	4513.329	-3.42665	0.41380	28.56730
2096_146021.5440753C000616-33-23.544_NIR_65321_124167_rgbi.tif	472111.288	5651192.525	4541.174	-1.19191	2.62019	27.30155
2096_146024.54491354C000616-33-26.544_NIR_65322_124168_rgbi.tif	471924.567	5651063.581	4539.752	-1.37412	2.64943	27.41337
2096_146027.54476655C000616-33-29.544_NIR_65323_124169_rgbi.tif	471737.348	5650934.677	4538.684	-1.47426	2.73886	27.25488
2096_146030.54461656C000616-33-32.544_NIR_65324_124170_rgbi.tif	471549.685	5650806.089	4537.876	-0.99745	3.17971	27.20146
2096_146033.54546757C000616-33-35.545_NIR_65325_124171_rgbi.tif	471362.158	5650677.081	4537.619	-0.34525	3.61698	27.32597
2096_146036.54328458C000616-33-38.543_NIR_65326_124172_rgbi.tif	471175.804	5650546.669	4537.570	0.58663	4.16097	27.80723
2096_146039.54516859C000616-33-41.545_NIR_65327_124173_rgbi.tif	470990.506	5650414.069	4537.667	-3.08588	2.17991	28.10114
2096_146042.54501760C000616-33-44.545_NIR_65328_124174_rgbi.tif	470804.487	5650283.429	4537.892	-2.96260	2.06126	27.04452
2096_146045.5448761C000616-33-47.544_NIR_65329_124175_rgbi.tif	470617.043	5650155.319	4537.713	-1.89046	2.37112	26.71895
2096_146048.54472162C000616-33-50.544_NIR_65330_124176_rgbi.tif	470428.647	5650028.276	4536.731	-1.24710	2.51423	26.38983
2096_146051.54457263C000616-33-53.544_NIR_65331_124177_rgbi.tif	470239.438	5649901.589	4535.355	-2.70744	1.61073	26.22164
2096_146054.54542164C000616-33-56.545_NIR_65332_124178_rgbi.tif	470048.629	5649776.348	4533.813	-2.54078	1.56224	25.61866
2096_146057.5452765C000616-33-59.545_NIR_65333_124179_rgbi.tif	469855.955	5649653.124	4531.913	-2.05937	1.58987	25.01901
2096_146060.54512266C000616-34-02.545_NIR_65334_124180_rgbi.tif	469661.444	5649531.288	4529.004	-1.05507	1.66860	24.61526
2096_146063.54497267C000616-34-05.544_NIR_65335_124181_rgbi.tif	469465.483	5649409.288	4524.814	0.85477	2.57332	24.91364
2096_146066.54482368C000616-34-08.544_NIR_65336_124182_rgbi.tif	469269.353	5649284.563	4521.181	1.28965	2.96127	25.75990
2096_146069.54371969C000616-34-11.543_NIR_65337_124183_rgbi.tif	469073.838	5649156.480	4518.182	0.75505	2.66678	26.18635
2096_146072.5455270C000616-34-14.545_NIR_65338_124184_rgbi.tif	468878.424	5649025.778	4515.256	0.05475	2.61505	26.65504
2096_146075.54537171C000616-34-17.545_NIR_65339_124185_rgbi.tif	468683.609	5648893.463	4514.435	-0.88104	3.51726	27.09486
2096_146078.54522272C000616-34-20.545_NIR_65340_124186_rgbi.tif	468490.495	5648760.502	4518.475	-1.33532	4.49784	27.35548
2096_146081.54515673C000616-34-23.545_NIR_65341_124187_rgbi.tif	468300.171	5648627.901	4525.678	-1.69155	4.82164	27.39313
2096_146084.5459274C000616-34-26.545_NIR_65342_124188_rgbi.tif	468112.794	5648496.176	4533.643	-1.72517	4.73998	27.45320
2096_146087.54576875C000616-34-29.545_NIR_65343_124189_rgbi.tif	467928.095	5648365.160	4539.947	-1.73143	3.85875	27.67026
2096_146090.54462176C000616-34-32.544_NIR_65344_124190_rgbi.tif	467744.701	5648234.597	4542.485	-1.69188	2.57141	27.70128
2096_146093.54546977C000616-34-35.545_NIR_65345_124191_rgbi.tif	467560.659	5648104.023	4540.447	-0.82004	1.90815	27.62995
2096_146096.54531778C000616-34-38.545_NIR_65346_124192_rgbi.tif	467375.046	5647972.860	4536.240	-0.57325	2.05145	27.48157
2096_146099.54416679C000616-34-41.544_NIR_65347_124193_rgbi.tif	467188.196	5647840.408	4532.930	0.89855	3.38918	27.90773
2096_146102.54401780C000616-34-44.544_NIR_65348_124194_rgbi.tif	467001.750	5647704.938	4532.265	-2.51882	2.07004	28.81689
2096_146105.54486981C000616-34-47.544_NIR_65349_124195_rgbi.tif	466814.722	5647569.618	4532.238	-1.18122	2.19613	28.09258
2096_146108.54471782C000616-34-50.544_NIR_65350_124196_rgbi.tif	466626.603	5647434.695	4530.213	-0.78971	1.51881	27.90453
2096_146111.54456783C000616-34-53.544_NIR_65351_124197_rgbi.tif	466436.881	5647299.343	4525.843	-0.84491	1.35671	27.69666
2096_146114.54541784C000616-34-56.545_NIR_65352_124198_rgbi.tif	466245.777	5647163.253	4523.712	-1.30664	3.46123	27.99023
2096_146117.54544685C000616-34-59.545_NIR_65353_124199_rgbi.tif	466055.972	5647027.145	4529.609	-1.60064	5.19881	27.93299
2096_146123.54497286C000616-35-05.544_NIR_65355_124201_rgbi.tif	465683.290	5646758.613	4541.994	-2.03762	1.77305	27.40587
2096_146126.5448287C000616-35-08.544_NIR_65356_124202_rgbi.tif	465496.202	5646626.680	4541.983	-1.41157	2.92534	27.14977
2096_146129.54467188C000616-35-11.544_NIR_65357_124203_rgbi.tif	465309.115	5646495.097	4544.096	-2.01276	3.22773	27.27355
2096_146132.54520789C000616-35-14.545_NIR_65358_124204_rgbi.tif	465122.596	5646364.393	4547.939	-1.70283	3.75162	27.07567
2096_146135.5450690C000616-35-17.545_NIR_65359_124205_rgbi.tif	464937.006	5646235.038	4552.559	-3.86575	2.64297	26.79445
2096_146140.54904491C000616-35-22.549_NIR_65360_124206_rgbi.tif	464626.859	5646026.458	4558.446	-0.70425	3.77277	25.37587
2096_146143.549992C000616-35-25.549_NIR_65361_124207_rgbi.tif	464441.303	5645902.660	4560.013	-0.94498	3.17114	25.55312
2096_146146.54976593C000616-35-28.549_NIR_65362_124208_rgbi.tif	464256.046	5645778.413	4559.663	-0.48123	2.86342	25.75638
2096_146149.54962294C000616-35-31.549_NIR_65363_124209_rgbi.tif	464070.515	5645653.270	4557.398	-0.71683	2.30086	25.85675
2096_146152.55021295C000616-35-34.550_NIR_65364_124210_rgbi.tif	463884.074	5645527.212	4553.705	0.01023	2.34141	26.10711
2096_146155.55033896C000616-35-37.550_NIR_65365_124211_rgbi.tif	463696.861	5645399.485	4549.286	-0.05096	2.21773	26.49796
2096_146158.54990997C000616-35-40.549_NIR_65366_124212_rgbi.tif	463508.919	5645270.091	4545.064	-0.48601	2.20644	26.63542
2096_146161.55005198C000616-35-43.550_NIR_65367_124213_rgbi.tif	463320.290	5645139.711	4542.223	-1.12391	2.36822	26.69655
2096_146164.54961299C000616-35-46.549_NIR_65368_124214_rgbi.tif	463131.316	5645009.381	4541.305	-1.83951	2.51315	26.57842
2096_146167.550775100C000616-35-49.550_NIR_65369_124215_rgbi.tif	462942.085	5644880.111	4542.232	-2.51745	2.59179	26.29060
2096_146170.549632101C000616-35-52.549_NIR_65370_124216_rgbi.tif	462752.892	5644753.100	4544.651	-3.15129	2.55882	25.77191
2096_146173.549491102C000616-35-55.549_NIR_65371_124217_rgbi.tif	462563.441	5644628.999	4548.110	-2.09110	3.13079	25.07476
2096_146176.550011103C000616-35-58.550_NIR_65372_124218_rgbi.tif	462374.526	5644506.234	4551.684	-0.00879	4.06327	25.37337
2096_146179.550207104C000616-36-01.550_NIR_65373_124219_rgbi.tif	462187.420	5644381.837	4554.634	0.94944	4.30933	26.05604
2096_146182.550067105C000616-36-04.550_NIR_65374_124220_rgbi.tif	462002.197	5644254.698	4556.333	0.31038	3.49115	26.77398
2096_146185.549924106C000616-36-07.549_NIR_65375_124221_rgbi.tif	461817.735	5644125.597	4556.075	-1.42414	2.13196	26.78706
2096_146188.550412107C000616-36-10.550_NIR_65376_124222_rgbi.tif	461632.277	5643996.647	4553.911	-1.80682	1.62096	26.38311
2096_146191.549639108C000616-36-13.549_NIR_65377_124223_rgbi.tif	461445.179	5643868.651	4550.511	-1.74287	1.54737	26.10637
2096_146194.550114109C000616-36-16.550_NIR_65378_124224_rgbi.tif	461256.325	5643741.294	4546.779	-1.45685	1.76993	25.73333
2096_146197.549354110C000616-36-19.549_NIR_65379_124225_rgbi.tif	461066.227	5643614.364	4543.350	-0.33320	2.53212	25.76806
2096_146200.54881111C000616-36-22.548_NIR_65380_124226_rgbi.tif	460875.740	5643486.631	4540.827	0.18160	3.01221	25.90149
2096_146203.54907112C000616-36-25.549_NIR_65381_124227_rgbi.tif	460685.705	5643357.021	4538.914	0.61786	3.37410	26.81690
2096_146206.549509113C000616-36-28.549_NIR_65382_124228_rgbi.tif	460496.743	5643224.782	4537.172	0.26898	3.16211	27.47734
2096_146209.549785114C000616-36-31.549_NIR_65383_124229_rgbi.tif	460308.325	5643090.318	4533.235	0.12519	1.61310	27.93950
2096_146212.550209115C000616-36-34.550_NIR_65384_124230_rgbi.tif	460118.922	5642953.808	4526.224	0.78710	2.00467	28.34756
2096_146215.549509116C000616-36-37.549_NIR_65385_124231_rgbi.tif	459928.551	5642815.198	4519.959	-0.96936	1.52736	28.43526
2096_146218.549908117C000616-36-40.549_NIR_65386_124232_rgbi.tif	459736.738	5642676.466	4516.204	-2.84783	1.18392	28.07076
2096_146221.549219118C000616-36-43.549_NIR_65387_124233_rgbi.tif	459543.611	5642539.830	4515.254	-1.26706	2.73866	27.65489
2096_146224.549078119C000616-36-46.549_NIR_65388_124234_rgbi.tif	459350.807	5642403.957	4516.852	-0.93447	3.42207	27.76239
2096_146227.549934120C000616-36-49.549_NIR_65389_124235_rgbi.tif	459159.148	5642268.400	4519.680	-2.89263	2.24031	27.70686
2096_146230.550309121C000616-36-52.550_NIR_65390_124236_rgbi.tif	458967.415	5642134.948	4521.088	-1.82628	2.09189	27.16044
2096_146233.550649122C000616-36-55.550_NIR_65391_124237_rgbi.tif	458775.049	5642002.562	4519.772	-1.04669	1.78509	27.05718
2096_146236.55051123C000616-36-58.550_NIR_65392_124238_rgbi.tif	458581.625	5641870.304	4516.130	-1.18912	1.43443	26.79073
2096_146239.550365124C000616-37-01.550_NIR_65393_124239_rgbi.tif	458386.824	5641738.006	4511.860	-1.14436	1.73951	26.83626
2096_146242.550709125C000616-37-04.550_NIR_65394_124240_rgbi.tif	458190.941	5641605.700	4508.590	-1.60444	1.85861	26.49458
2096_146245.550083126C000616-37-07.550_NIR_65395_124241_rgbi.tif	457994.268	5641474.221	4506.590	-1.32518	2.39321	26.46025
2096_146248.549407127C000616-37-10.549_NIR_65396_124242_rgbi.tif	457797.335	5641343.564	4505.982	-1.61326	2.65937	26.13795
2096_146251.549794128C000616-37-13.549_NIR_65397_124243_rgbi.tif	457600.533	5641213.886	4506.798	-1.51644	3.14841	26.13871
2096_146254.550113129C000616-37-16.550_NIR_65398_124244_rgbi.tif	457404.701	5641084.811	4508.831	-1.16743	3.64817	26.20130
2096_146257.550509130C000616-37-19.550_NIR_65399_124245_rgbi.tif	457210.495	5640955.687	4511.531	0.37098	4.53088	26.60367
2096_146260.55037131C000616-37-22.550_NIR_65400_124246_rgbi.tif	457018.777	5640824.876	4514.257	-0.52986	3.92966	27.31684
2096_146263.550228132C000616-37-25.550_NIR_65401_124247_rgbi.tif	456828.962	5640692.795	4516.326	-0.30909	3.67253	27.73501
2096_146266.550509133C000616-37-28.550_NIR_65402_124248_rgbi.tif	456640.768	5640559.330	4518.481	-0.36024	4.70780	28.30869
2096_146269.549946134C000616-37-31.549_NIR_65403_124249_rgbi.tif	456455.329	5640424.448	4523.771	-1.36888	4.83840	28.96631
2096_146272.550211135C000616-37-34.550_NIR_65404_124250_rgbi.tif	456272.587	5640289.492	4530.322	-3.84264	3.45752	28.96614
2096_146275.549667136C000616-37-37.549_NIR_65405_124251_rgbi.tif	456090.720	5640157.325	4535.034	-3.25900	2.75476	28.12410
2096_146278.550523137C000616-37-40.550_NIR_65406_124252_rgbi.tif	455908.154	5640027.763	4536.012	-2.67308	2.20318	27.48931
